instant,date,year,season,month,weekday,holiday,workday,weathersit,temp,atemp,humidity,windspeed,casual,registered,cnt
30,2011/1/30,2011,1,1,0,0,0,1,8.88,12.52,72.22,2.74,140,956,1096
31,2011/1/31,2011,1,1,1,0,1,2,7.41,9.31,60.38,6.93,42,1459,1501
32,2011/2/1,2011,1,2,2,0,1,2,7.88,11.73,82.96,1.97,47,1313,1360
33,2011/2/2,2011,1,2,3,0,1,2,10.66,12.72,77.54,9.78,72,1454,1526
34,2011/2/3,2011,1,2,4,0,1,1,7.67,8.89,43.78,10.28,61,1489,1550
35,2011/2/4,2011,1,2,5,0,1,2,8.66,11.43,58.52,4.73,88,1620,1708
36,2011/2/5,2011,1,2,6,0,0,2,9.57,12.15,92.92,5.96,100,905,1005
37,2011/2/6,2011,1,2,0,0,0,1,11.72,14.58,56.83,5.25,354,1269,1623
38,2011/2/7,2011,1,2,1,0,1,1,11.14,15.18,73.83,1.68,120,1592,1712
39,2011/2/8,2011,1,2,2,0,1,1,9.05,9.91,53.79,13.39,64,1466,1530
40,2011/2/9,2011,1,2,3,0,1,2,5.53,7.21,49.48,6.99,53,1552,1605
41,2011/2/10,2011,1,2,4,0,1,1,5.92,7.48,43.74,8.21,47,1491,1538
42,2011/2/11,2011,1,2,5,0,1,1,7.75,10.68,50.64,4.02,149,1597,1746
43,2011/2/12,2011,1,2,6,0,0,1,9.12,11.65,54.42,7.52,288,1184,1472
44,2011/2/13,2011,1,2,0,0,0,1,12.98,16.21,45.74,9.65,397,1192,1589
45,2011/2/14,2011,1,2,1,0,1,1,17.02,19.92,37.58,15.46,208,1705,1913
46,2011/2/15,2011,1,2,2,0,1,1,10.91,12.71,31.43,10.78,140,1675,1815
47,2011/2/16,2011,1,2,3,0,1,1,13.05,15.81,42.35,9.32,218,1897,2115
48,2011/2/17,2011,1,2,4,0,1,1,17.87,21.43,50.5,8.51,259,2216,2475
49,2011/2/18,2011,1,2,5,0,1,1,21.39,25.6,51.67,9.8,579,2348,2927
50,2011/2/19,2011,1,2,6,0,0,1,16.37,19.57,18.79,18.78,532,1103,1635
51,2011/2/20,2011,1,2,0,0,0,1,11.69,13.87,40.78,8.26,639,1173,1812
52,2011/2/21,2011,1,2,1,1,0,2,12.44,14.2,60.5,11.39,195,912,1107
53,2011/2/22,2011,1,2,2,0,1,1,7.47,9.3,57.78,7.24,74,1376,1450
54,2011/2/23,2011,1,2,3,0,1,1,9.09,12.29,42.3,3.48,139,1778,1917
55,2011/2/24,2011,1,2,4,0,1,2,12.12,14.46,69.74,9.27,100,1707,1807
56,2011/2/25,2011,1,2,5,0,1,2,14.94,17.52,71.22,12.82,120,1341,1461
57,2011/2/26,2011,1,2,6,0,0,1,11.58,14.11,53.79,6.9,424,1545,1969
58,2011/2/27,2011,1,2,0,0,0,1,14.08,17.56,68,4.63,694,1708,2402
59,2011/2/28,2011,1,2,1,0,1,2,16.7,20.01,87.64,10.72,81,1365,1446
60,2011/3/1,2011,1,3,2,0,1,1,10.93,13.19,53.5,8.01,137,1714,1851
61,2011/3/2,2011,1,3,3,0,1,1,13.74,16,44.96,11.39,231,1903,2134
62,2011/3/3,2011,1,3,4,0,1,1,8.13,10.01,31.83,8.35,123,1562,1685
63,2011/3/4,2011,1,3,5,0,1,2,10.73,12.78,61.04,7.52,214,1730,1944
64,2011/3/5,2011,1,3,6,0,0,2,15.75,18.94,78.92,9.32,640,1437,2077
65,2011/3/6,2011,1,3,0,0,0,2,15.44,18.31,94.83,12.7,114,491,605
66,2011/3/7,2011,1,3,1,0,1,1,10.73,11.92,55.13,12.63,244,1628,1872
67,2011/3/8,2011,1,3,2,0,1,1,11.99,15.12,42.08,4.46,316,1817,2133
68,2011/3/9,2011,1,3,3,0,1,2,12.13,14.33,77.54,8.15,191,1700,1891
69,2011/3/10,2011,1,3,4,0,1,3,15.95,19.28,0,9.69,46,577,623
70,2011/3/11,2011,1,3,5,0,1,2,12.98,15.25,64.96,8.62,247,1730,1977
71,2011/3/12,2011,1,3,6,0,0,1,13.5,16.29,59.46,8.17,724,1408,2132
72,2011/3/13,2011,1,3,0,0,0,1,15.76,19,52.74,10.01,982,1435,2417
73,2011/3/14,2011,1,3,1,0,1,1,13.33,16.6,49.7,5.07,359,1687,2046
74,2011/3/15,2011,1,3,2,0,1,2,13.01,15.91,65.57,6.82,289,1767,2056
75,2011/3/16,2011,1,3,3,0,1,2,14.97,18.35,77.65,7.52,321,1871,2192
76,2011/3/17,2011,1,3,4,0,1,1,17.02,20.52,60.29,7.75,424,2320,2744
77,2011/3/18,2011,1,3,5,0,1,1,22.14,26.35,52.52,8.55,884,2355,3239
78,2011/3/19,2011,1,3,6,0,0,1,19.37,23.33,37.92,13.62,1424,1693,3117
79,2011/3/20,2011,1,3,0,0,0,1,13.63,16.29,47.38,7.69,1047,1424,2471
80,2011/3/21,2011,2,3,1,0,1,2,17.65,20.49,73.74,10.68,401,1676,2077
81,2011/3/22,2011,2,3,2,0,1,1,18.11,22.03,62.46,8.35,460,2243,2703
82,2011/3/23,2011,2,3,3,0,1,2,14.23,16.9,83.96,8.67,203,1918,2121
83,2011/3/24,2011,2,3,4,0,1,2,11.69,13.54,80.58,9.02,166,1699,1865
84,2011/3/25,2011,2,3,5,0,1,1,10.83,12.82,49.5,8.54,300,1910,2210
85,2011/3/26,2011,2,3,6,0,0,1,10.9,12.88,39.42,7.75,981,1515,2496
86,2011/3/27,2011,2,3,0,0,0,2,10.37,12.52,49.39,6.82,472,1221,1693
87,2011/3/28,2011,2,3,1,0,1,1,10.84,12.88,30.22,7.85,222,1806,2028
88,2011/3/29,2011,2,3,2,0,1,1,12.4,14.65,31.42,8.4,317,2108,2425
89,2011/3/30,2011,2,3,3,0,1,2,12.3,14.87,64.67,6.4,168,1368,1536
90,2011/3/31,2011,2,3,4,0,1,3,11,12.88,91.83,8.05,179,1506,1685
91,2011/4/1,2011,2,4,5,0,1,2,12.3,14.17,68.63,9.57,307,1920,2227
92,2011/4/2,2011,2,4,6,0,0,2,12.92,15.78,65.38,7.29,898,1354,2252
93,2011/4/3,2011,2,4,0,0,0,1,15.51,18.94,48,6.74,1651,1598,3249
94,2011/4/4,2011,2,4,1,0,1,1,23.51,27.15,42.63,14.27,734,2381,3115
95,2011/4/5,2011,2,4,2,0,1,2,16.98,19.92,64.21,14.36,167,1628,1795
96,2011/4/6,2011,2,4,3,0,1,1,16.02,19.38,47.08,9.73,413,2395,2808
97,2011/4/7,2011,2,4,4,0,1,1,17.94,21.68,60.29,6.01,571,2570,3141
98,2011/4/8,2011,2,4,5,0,1,2,13.77,16.22,83.63,8.4,172,1299,1471
99,2011/4/9,2011,2,4,6,0,0,2,14.04,17.08,87.75,4.92,879,1576,2455
100,2011/4/10,2011,2,4,0,0,0,2,17.49,21.34,85.75,5.43,1188,1707,2895
101,2011/4/11,2011,2,4,1,0,1,2,24.42,28.26,71.7,12.01,855,2493,3348
102,2011/4/12,2011,2,4,2,0,1,2,20.6,24.65,73.92,10.17,257,1777,2034
103,2011/4/13,2011,2,4,3,0,1,2,16.91,20.86,81.92,9.27,209,1953,2162
104,2011/4/14,2011,2,4,4,0,1,1,19.17,23.14,54.04,4.1,529,2738,3267
105,2011/4/15,2011,2,4,5,1,0,1,18.31,22.1,67.13,8.38,642,2484,3126
106,2011/4/16,2011,2,4,6,0,0,3,17.66,21.27,88.83,12.61,121,674,795
107,2011/4/17,2011,2,4,0,0,0,1,18.72,22.28,47.96,11.23,1558,2186,3744
108,2011/4/18,2011,2,4,1,0,1,1,21.01,25.16,54.25,6.05,669,2760,3429
109,2011/4/19,2011,2,4,2,0,1,2,20.74,24.46,66.58,5.84,409,2795,3204
110,2011/4/20,2011,2,4,3,0,1,1,24.4,28.22,61.42,8.95,613,3331,3944
111,2011/4/21,2011,2,4,4,0,1,1,18.83,22.69,40.71,12.03,745,3444,4189
112,2011/4/22,2011,2,4,5,0,1,2,13.8,16.1,72.96,8.12,177,1506,1683
113,2011/4/23,2011,2,4,6,0,0,2,18.86,22.51,88.79,8.54,1462,2574,4036
114,2011/4/24,2011,2,4,0,0,0,2,23.85,27.59,81.08,7.11,1710,2481,4191
115,2011/4/25,2011,2,4,1,0,1,1,24.87,28.73,77.67,6.86,773,3300,4073
116,2011/4/26,2011,2,4,2,0,1,1,25.9,29.7,72.92,12.08,678,3722,4400
117,2011/4/27,2011,2,4,3,0,1,2,25.42,28.76,83.54,11.55,547,3325,3872
118,2011/4/28,2011,2,4,4,0,1,2,25.32,28.95,70.08,11.87,569,3489,4058
119,2011/4/29,2011,2,4,5,0,1,1,20.91,24.87,45.71,8.88,878,3717,4595
120,2011/4/30,2011,2,4,6,0,0,1,19.37,23.2,50.33,8.7,1965,3347,5312
121,2011/5/1,2011,2,5,0,0,0,2,18.52,22.41,76.21,3.94,1138,2213,3351
122,2011/5/2,2011,2,5,1,0,1,2,22.52,26.64,73,6.79,847,3554,4401
123,2011/5/3,2011,2,5,2,0,1,2,25.28,29.1,69.71,12.68,603,3848,4451
124,2011/5/4,2011,2,5,3,0,1,2,16.98,20.23,73.71,12.17,255,2378,2633
125,2011/5/5,2011,2,5,4,0,1,1,18.83,22.1,44.42,10.93,614,3819,4433
126,2011/5/6,2011,2,5,5,0,1,1,19.65,23.71,59,8.45,894,3714,4608
127,2011/5/7,2011,2,5,6,0,0,1,21.32,25.63,54.13,5.94,1612,3102,4714
128,2011/5/8,2011,2,5,0,0,0,1,21.66,25.95,63.17,2.76,1401,2932,4333
129,2011/5/9,2011,2,5,1,0,1,1,21.83,26.26,58.88,6.51,664,3698,4362
130,2011/5/10,2011,2,5,2,0,1,1,21.83,26.14,48.92,4.28,694,4109,4803
131,2011/5/11,2011,2,5,3,0,1,1,22.24,26.42,63.29,4.46,550,3632,4182
132,2011/5/12,2011,2,5,4,0,1,1,21.94,26.17,74.75,7.02,695,4169,4864
133,2011/5/13,2011,2,5,5,0,1,2,21.01,24.72,86.33,6.65,692,3413,4105
134,2011/5/14,2011,2,5,6,0,0,2,21.35,25.03,92.25,4.99,902,2507,3409
135,2011/5/15,2011,2,5,0,0,0,2,23.06,26.8,86.71,5.66,1582,2971,4553
136,2011/5/16,2011,2,5,1,0,1,1,23.68,27.53,78.79,4.69,773,3185,3958
137,2011/5/17,2011,2,5,2,0,1,2,23.03,26.93,83.79,10.26,678,3445,4123
138,2011/5/18,2011,2,5,3,0,1,2,22.55,26.36,87,7.46,536,3319,3855
139,2011/5/19,2011,2,5,4,0,1,2,21.76,25.54,82.96,4,735,3840,4575
140,2011/5/20,2011,2,5,5,0,1,1,22,26.45,71.96,4.63,909,4008,4917
141,2011/5/21,2011,2,5,6,0,0,1,24.7,28.6,62.67,4.46,2258,3547,5805
142,2011/5/22,2011,2,5,0,0,0,1,24.77,28.73,74.96,5.48,1576,3084,4660
143,2011/5/23,2011,2,5,1,0,1,2,25.9,29.51,81,8.65,836,3438,4274
144,2011/5/24,2011,2,5,2,0,1,2,27.06,30.24,74.08,7.66,659,3833,4492
145,2011/5/25,2011,2,5,3,0,1,1,27.09,30.78,69.63,5.71,740,4238,4978
146,2011/5/26,2011,2,5,4,0,1,1,29.04,32.73,67.75,7.39,758,3919,4677
147,2011/5/27,2011,2,5,5,0,1,1,27.95,31.85,65.38,8.91,871,3808,4679
148,2011/5/28,2011,2,5,6,0,0,1,26.89,30.62,72.96,8.51,2001,2757,4758
149,2011/5/29,2011,2,5,0,0,0,1,27.37,30.78,81.88,7.92,2355,2433,4788
150,2011/5/30,2011,2,5,1,1,0,1,30.07,33.55,68.5,4.86,1549,2549,4098
151,2011/5/31,2011,2,5,2,0,1,1,31.78,36.27,63.67,4.12,673,3309,3982
152,2011/6/1,2011,2,6,3,0,1,2,31.33,36.05,67.71,7.66,513,3461,3974
153,2011/6/2,2011,2,6,4,0,1,1,29.32,32.2,30.5,10.81,736,4232,4968
154,2011/6/3,2011,2,6,5,0,1,1,25.42,29.36,35.42,9.37,898,4414,5312
155,2011/6/4,2011,2,6,6,0,0,1,26.04,29.73,45.63,4.56,1869,3473,5342
156,2011/6/5,2011,2,6,0,0,0,2,26.58,30.84,65.25,5.13,1685,3221,4906
157,2011/6/6,2011,2,6,1,0,1,1,27.81,31.09,60,4.51,673,3875,4548
158,2011/6/7,2011,2,6,2,0,1,1,29.01,32.8,59.79,6.95,763,4070,4833
159,2011/6/8,2011,2,6,3,0,1,1,31.81,36.36,62.21,5.06,676,3725,4401
160,2011/6/9,2011,2,6,4,0,1,2,33.14,37.88,56.83,5.55,563,3352,3915
161,2011/6/10,2011,2,6,5,0,1,1,30.96,35.16,60.5,5.2,815,3771,4586
162,2011/6/11,2011,2,6,6,0,0,1,29.73,33.9,65.46,5.73,1729,3237,4966
163,2011/6/12,2011,2,6,0,0,0,1,28.39,32.17,74.79,6.05,1467,2993,4460
164,2011/6/13,2011,2,6,1,0,1,1,26.04,30.08,49.46,11.3,863,4157,5020
165,2011/6/14,2011,2,6,2,0,1,1,24.77,29.58,50.71,9.96,727,4164,4891
166,2011/6/15,2011,2,6,3,0,1,1,25.69,29.39,47.17,6.21,769,4411,5180
167,2011/6/16,2011,2,6,4,0,1,2,25.76,29.77,68.83,7.64,545,3222,3767
168,2011/6/17,2011,2,6,5,0,1,1,26.62,30.02,73.58,5.29,863,3981,4844
169,2011/6/18,2011,2,6,6,0,0,1,28.56,32.2,67.04,4.42,1807,3312,5119
170,2011/6/19,2011,2,6,0,0,0,2,28.67,32.29,66.67,3.77,1639,3105,4744
171,2011/6/20,2011,2,6,1,0,1,2,26.04,29.77,74.63,5.75,699,3311,4010
172,2011/6/21,2011,3,6,2,0,1,2,27.91,31.88,77.04,6.33,774,4061,4835
173,2011/6/22,2011,3,6,3,0,1,1,30.07,34.69,70.75,6.37,661,3846,4507
174,2011/6/23,2011,3,6,4,0,1,2,29.86,34.69,70.33,8.84,746,4044,4790
175,2011/6/24,2011,3,6,5,0,1,1,29.69,32.83,57.33,8.21,969,4022,4991
176,2011/6/25,2011,3,6,6,0,0,1,28.5,32.17,48.33,7.75,1782,3420,5202
177,2011/6/26,2011,3,6,0,0,0,1,27.88,31.88,51.33,3.5,1920,3385,5305
178,2011/6/27,2011,3,6,1,0,1,2,27.98,31.85,65.83,3.98,854,3854,4708
179,2011/6/28,2011,3,6,2,0,1,1,30.51,34.63,63.42,5.34,732,3916,4648
180,2011/6/29,2011,3,6,3,0,1,1,29.86,32.73,49.79,9.69,848,4377,5225
181,2011/6/30,2011,3,6,4,0,1,1,28.56,31.85,43.42,6.86,1027,4488,5515
182,2011/7/1,2011,3,7,5,0,1,1,29.62,32.61,39.63,3.8,1246,4116,5362
183,2011/7/2,2011,3,7,6,0,0,1,30.27,33.37,44.46,4.26,2204,2915,5119
184,2011/7/3,2011,3,7,0,0,0,2,29.38,33.43,68.25,8.47,2282,2367,4649
185,2011/7/4,2011,3,7,1,1,0,2,29.79,33.27,63.79,3.01,3065,2978,6043
186,2011/7/5,2011,3,7,2,0,1,1,30.61,34.82,59.04,4.67,1031,3634,4665
187,2011/7/6,2011,3,7,3,0,1,1,29.52,34.28,74.33,5.55,784,3845,4629
188,2011/7/7,2011,3,7,4,0,1,1,30.75,34.34,65.13,5.89,754,3838,4592
189,2011/7/8,2011,3,7,5,0,1,2,29.08,33.52,75.79,8.33,692,3348,4040
190,2011/7/9,2011,3,7,6,0,0,1,30.07,33.21,60.92,6.21,1988,3348,5336
191,2011/7/10,2011,3,7,0,0,0,1,30.65,34.5,57.83,6.79,1743,3138,4881
192,2011/7/11,2011,3,7,1,0,1,1,31.26,36.49,63.58,10.45,723,3363,4086
193,2011/7/12,2011,3,7,2,0,1,1,32.56,36.96,55.92,7.41,662,3596,4258
194,2011/7/13,2011,3,7,3,0,1,1,30.61,34.47,63.17,5.41,748,3594,4342
195,2011/7/14,2011,3,7,4,0,1,1,27.91,31.76,47.63,8.9,888,4196,5084
196,2011/7/15,2011,3,7,5,0,1,1,27.2,31.22,59.13,6.76,1318,4220,5538
197,2011/7/16,2011,3,7,6,0,0,1,28.15,31.91,58.5,7.71,2418,3505,5923
198,2011/7/17,2011,3,7,0,0,0,1,29.49,33.49,60.42,9.07,2006,3296,5302
199,2011/7/18,2011,3,7,1,0,1,1,30.61,35.2,65.13,7.98,841,3617,4458
200,2011/7/19,2011,3,7,2,0,1,1,31.84,37.37,65.04,4.83,752,3789,4541
201,2011/7/20,2011,3,7,3,0,1,1,31.5,37.34,70.71,4.21,644,3688,4332
202,2011/7/21,2011,3,7,4,0,1,2,33.42,41.32,69.13,8.21,632,3152,3784
203,2011/7/22,2011,3,7,5,0,1,1,34.78,42.04,58.04,4.92,562,2825,3387
204,2011/7/23,2011,3,7,6,0,0,1,34.82,40.21,50,4.86,987,2298,3285
205,2011/7/24,2011,3,7,0,0,0,1,34.03,39.74,55.08,6.26,1050,2556,3606
206,2011/7/25,2011,3,7,1,0,1,1,30.48,36.05,75.71,3.36,568,3272,3840
207,2011/7/26,2011,3,7,2,0,1,1,31.64,34.85,54.08,7.41,750,3840,4590
208,2011/7/27,2011,3,7,3,0,1,1,31.78,34.53,40.29,6.79,755,3901,4656
209,2011/7/28,2011,3,7,4,0,1,1,31.95,37,58.33,6.6,606,3784,4390
210,2011/7/29,2011,3,7,5,0,1,1,34.37,39.3,54.25,6.44,670,3176,3846
211,2011/7/30,2011,3,7,6,0,0,1,32.97,36.43,46.58,6.24,1559,2916,4475
212,2011/7/31,2011,3,7,0,0,0,1,33.04,36.49,48.08,6.1,1524,2778,4302
213,2011/8/1,2011,3,8,1,0,1,1,31.64,35.16,55.08,5.8,729,3537,4266
214,2011/8/2,2011,3,8,2,0,1,1,32.12,35.35,49.13,7.62,801,4044,4845
215,2011/8/3,2011,3,8,3,0,1,2,30,34,65.75,5.02,467,3107,3574
216,2011/8/4,2011,3,8,4,0,1,2,29.11,33.24,75.75,7.29,799,3777,4576
217,2011/8/5,2011,3,8,5,0,1,1,29.14,32.83,63.08,6.83,1023,3843,4866
218,2011/8/6,2011,3,8,6,0,0,2,29.38,33.81,75.5,8.45,1521,2773,4294
219,2011/8/7,2011,3,8,0,0,0,1,30.44,35.76,75.29,7.46,1298,2487,3785
220,2011/8/8,2011,3,8,1,0,1,1,31.37,35.16,59.21,7.11,846,3480,4326
221,2011/8/9,2011,3,8,2,0,1,1,31.78,36.21,57.04,5.59,907,3695,4602
222,2011/8/10,2011,3,8,3,0,1,1,31.43,34.25,42.42,7.41,884,3896,4780
223,2011/8/11,2011,3,8,4,0,1,1,29.42,32.58,42.38,6.1,812,3980,4792
224,2011/8/12,2011,3,8,5,0,1,1,29.04,32.7,41.5,4.65,1051,3854,4905
225,2011/8/13,2011,3,8,6,0,0,2,28.12,32.29,72.96,7.82,1504,2646,4150
226,2011/8/14,2011,3,8,0,0,0,2,27.74,31.22,81.75,8.24,1338,2482,3820
227,2011/8/15,2011,3,8,1,0,1,1,27.3,30.81,71.21,7.73,775,3563,4338
228,2011/8/16,2011,3,8,2,0,1,1,28.73,32.29,57.83,8.74,721,4004,4725
229,2011/8/17,2011,3,8,3,0,1,1,29.66,33.33,57.54,5.32,668,4026,4694
230,2011/8/18,2011,3,8,4,0,1,1,29.18,33.11,65.46,8.63,639,3166,3805
231,2011/8/19,2011,3,8,5,0,1,2,28.09,31.66,72.29,5.15,797,3356,4153
232,2011/8/20,2011,3,8,6,0,0,1,28.6,32.45,67.42,3.87,1914,3277,5191
233,2011/8/21,2011,3,8,0,0,0,1,29.14,33.78,77,9.2,1249,2624,3873
234,2011/8/22,2011,3,8,1,0,1,1,28.36,31.91,47,10.24,833,3925,4758
235,2011/8/23,2011,3,8,2,0,1,1,26.27,30.3,45.54,5.43,1281,4614,5895
236,2011/8/24,2011,3,8,3,0,1,1,27.61,31.53,60.5,9.36,949,4181,5130
237,2011/8/25,2011,3,8,4,0,1,2,28.05,32.29,77.17,7.8,435,3107,3542
238,2011/8/26,2011,3,8,5,0,1,1,28.7,32.99,76.13,3.11,768,3893,4661
239,2011/8/27,2011,3,8,6,0,0,2,27.88,31.78,85,13.9,226,889,1115
240,2011/8/28,2011,3,8,0,0,0,1,28.99,32.4,56.18,11.27,1415,2919,4334
241,2011/8/29,2011,3,8,1,0,1,1,26.1,30.4,55.46,5.91,729,3905,4634
242,2011/8/30,2011,3,8,2,0,1,1,26.21,29.74,54.83,4.63,775,4429,5204
243,2011/8/31,2011,3,8,3,0,1,1,26.92,30.56,59.79,3.08,688,4370,5058
244,2011/9/1,2011,3,9,4,0,1,1,26.86,30.75,63.92,5.25,783,4332,5115
245,2011/9/2,2011,3,9,5,0,1,2,26.38,30.24,72.71,5.18,875,3852,4727
246,2011/9/3,2011,3,9,6,0,0,1,27.44,31.66,71.67,6.86,1935,2549,4484
247,2011/9/4,2011,3,9,0,0,0,1,29.08,33.27,74.21,7.64,2521,2419,4940
248,2011/9/5,2011,3,9,1,1,0,2,27.61,31.28,79.04,7.87,1236,2115,3351
249,2011/9/6,2011,3,9,2,0,1,3,22.14,25.76,88.7,12.73,204,2506,2710
250,2011/9/7,2011,3,9,3,0,1,3,24.57,27.21,91.71,3.59,118,1878,1996
251,2011/9/8,2011,3,9,4,0,1,3,25.99,27.77,93.96,7.13,153,1689,1842
252,2011/9/9,2011,3,9,5,0,1,2,26.65,28.95,89.79,4.6,417,3127,3544
253,2011/9/10,2011,3,9,6,0,0,1,27.06,30.4,75.38,5.68,1750,3595,5345
254,2011/9/11,2011,3,9,0,0,0,1,26.79,30.46,71.38,4.26,1633,3413,5046
255,2011/9/12,2011,3,9,1,0,1,1,26.42,30.11,69.22,3.29,690,4023,4713
256,2011/9/13,2011,3,9,2,0,1,1,26.68,30.18,71.25,5.25,701,4062,4763
257,2011/9/14,2011,3,9,3,0,1,1,27.61,31.35,69.71,6.19,647,4138,4785
258,2011/9/15,2011,3,9,4,0,1,2,23.68,27.68,70.92,10.03,428,3231,3659
259,2011/9/16,2011,3,9,5,0,1,2,19.24,23.07,59.04,6.07,742,4018,4760
260,2011/9/17,2011,3,9,6,0,0,2,20.16,23.93,71.83,7.02,1434,3077,4511
261,2011/9/18,2011,3,9,0,0,0,1,20.81,24.53,69.5,6.6,1353,2921,4274
262,2011/9/19,2011,3,9,1,0,1,2,22.52,26.48,69,5.61,691,3848,4539
263,2011/9/20,2011,3,9,2,0,1,2,23.03,26.61,88.13,4.99,438,3203,3641
264,2011/9/21,2011,3,9,3,0,1,2,24.4,27.53,90,3.57,539,3813,4352
265,2011/9/22,2011,3,9,4,0,1,2,25.76,27.75,90.21,4.74,555,4240,4795
266,2011/9/23,2011,4,9,5,0,1,2,24.98,26.11,97.25,2.9,258,2137,2395
267,2011/9/24,2011,4,9,6,0,0,2,24.87,28.22,86.25,2.9,1776,3647,5423
268,2011/9/25,2011,4,9,0,0,0,2,26,28.63,84.5,1.86,1544,3466,5010
269,2011/9/26,2011,4,9,1,0,1,2,26.62,29.45,84.83,4.1,684,3946,4630
270,2011/9/27,2011,4,9,2,0,1,2,26.1,28.73,88.54,4.37,477,3643,4120
271,2011/9/28,2011,4,9,3,0,1,2,26.04,28.76,84.88,5.5,480,3427,3907
272,2011/9/29,2011,4,9,4,0,1,1,25.28,28.73,69.92,6.4,653,4186,4839
273,2011/9/30,2011,4,9,5,0,1,1,23.13,27.24,64.75,7.64,830,4372,5202
274,2011/10/1,2011,4,10,6,0,0,2,16.81,20.64,75.38,10.81,480,1949,2429
275,2011/10/2,2011,4,10,0,0,0,2,14.62,17.27,79.17,8.21,616,2302,2918
276,2011/10/3,2011,4,10,1,0,1,2,15.75,19.6,76.08,3.08,330,3240,3570
277,2011/10/4,2011,4,10,2,0,1,1,19.85,23.64,71,7.62,486,3970,4456
278,2011/10/5,2011,4,10,3,0,1,1,22.07,26.36,64.79,6.56,559,4267,4826
279,2011/10/6,2011,4,10,4,0,1,1,20.26,24.02,62.08,4.99,639,4126,4765
280,2011/10/7,2011,4,10,5,0,1,1,20.94,25.22,68.42,0.83,949,4036,4985
281,2011/10/8,2011,4,10,6,0,0,1,21.39,25.66,70.13,1.68,2235,3174,5409
282,2011/10/9,2011,4,10,0,0,0,1,22.17,26.2,72.75,2.35,2397,3114,5511
283,2011/10/10,2011,4,10,1,1,0,1,23.4,27.15,73.38,1.57,1514,3603,5117
284,2011/10/11,2011,4,10,2,0,1,2,23.23,27.3,80.88,5.29,667,3896,4563
285,2011/10/12,2011,4,10,3,0,1,3,22.28,25.89,90.63,9.18,217,2199,2416
286,2011/10/13,2011,4,10,4,0,1,2,24.16,27.59,89.67,5.25,290,2623,2913
287,2011/10/14,2011,4,10,5,0,1,2,22.58,26.48,71.63,8.28,529,3115,3644
288,2011/10/15,2011,4,10,6,0,0,1,20.77,24.94,48.33,9.55,1899,3318,5217
289,2011/10/16,2011,4,10,0,0,0,1,20.98,25.16,48.67,10.42,1748,3293,5041
